Name,Units,Short,Long
Ess1E,kWh,Ess1 Energy,
Ess1ExpE,kWh,Ess1 Export Energy,
Ess1ExpP,kW,Ess1 Export Active Power,
Ess1ExpQh,kvarh,Ess1 Export Reactive Power Hours,
Ess1ExpS,kVA,Ess1 Export Apparent Power,
Ess1ExpSh,kVAh,Ess1 Export Apparent Power Hours,
Ess1I2,A,Ess1 Phase 2 Current,
Ess1I3,A,Ess1 Phase 3 Current,
Ess1ImpE,kWh,Ess1 Import Energy,
Ess1ImpP,kW,Ess1 Import Active Power,
Ess1ImpQh,kvarh,Ess1 Import Reactive Power Hours,
Ess1ImpS,kVA,Ess1 Import Apparent Power,
Ess1ImpSh,kVAh,Ess1 Import Apparent Power Hours,
Ess1P,kW,Ess1 Active Power,
Ess1Pf,pf,Ess1 Power Factor,
Ess1Qh,kvarh,Ess1 Reactive Power Hours,
Ess1S,kVA,Ess1 Apparent Power,
Ess1Sh,kVAh,Ess1 Apparent Power Hours,
Ess1U,V,Ess1 Average Phase to Phase Voltage,
Ess1U12,V,Ess1 Phase 1 to 2 Voltage,
Ess1U1n,V,Ess1 Phase 1 to N Voltage,
Ess1U23,V,Ess1 Phase 2 to 3 Voltage,
Ess1U2n,V,Ess1 Phase 2 to N Voltage,
Ess1U31,V,Ess1 Phase 3 to 1 Voltage,
Ess1U3n,V,Ess1 Phase 3 to N Voltage,
Ess1Un,V,Ess1 Average Phase to Neutral Voltage,
Ess2E,kWh,Ess2 Energy,
Ess2ExpE,kWh,Ess2 Export Energy,
Ess2ExpP,kW,Ess2 Export Active Power,
Ess2ExpQh,kvarh,Ess2 Export Reactive Power Hours,
Ess2ExpS,kVA,Ess2 Export Apparent Power,
Ess2ExpSh,kVAh,Ess2 Export Apparent Power Hours,
Ess2I2,A,Ess2 Phase 2 Current,
Ess2I3,A,Ess2 Phase 3 Current,
Ess2ImpE,kWh,Ess2 Import Energy,
Ess2ImpP,kW,Ess2 Import Active Power,
Ess2ImpQh,kvarh,Ess2 Import Reactive Power Hours,
Ess2ImpS,kVA,Ess2 Import Apparent Power,
Ess2ImpSh,kVAh,Ess2 Import Apparent Power Hours,
Ess2P,kW,Ess2 Active Power,
Ess2Pf,pf,Ess2 Power Factor,
Ess2Qh,kvarh,Ess2 Reactive Power Hours,
Ess2S,kVA,Ess2 Apparent Power,
Ess2Sh,kVAh,Ess2 Apparent Power Hours,
Ess2U,V,Ess2 Average Phase to Phase Voltage,
Ess2U12,V,Ess2 Phase 1 to 2 Voltage,
Ess2U1n,V,Ess2 Phase 1 to N Voltage,
Ess2U23,V,Ess2 Phase 2 to 3 Voltage,
Ess2U2n,V,Ess2 Phase 2 to N Voltage,
Ess2U31,V,Ess2 Phase 3 to 1 Voltage,
Ess2U3n,V,Ess2 Phase 3 to N Voltage,
Ess2Un,V,Ess2 Average Phase to Neutral Voltage,
Ess3E,kWh,Ess3 Energy,
Ess3ExpE,kWh,Ess3 Export Energy,
Ess3ExpP,kW,Ess3 Export Active Power,
Ess3ExpQh,kvarh,Ess3 Export Reactive Power Hours,
Ess3ExpS,kVA,Ess3 Export Apparent Power,
Ess3ExpSh,kVAh,Ess3 Export Apparent Power Hours,
Ess3I2,A,Ess3 Phase 2 Current,
Ess3I3,A,Ess3 Phase 3 Current,
Ess3ImpE,kWh,Ess3 Import Energy,
Ess3ImpP,kW,Ess3 Import Active Power,
Ess3ImpQh,kvarh,Ess3 Import Reactive Power Hours,
Ess3ImpS,kVA,Ess3 Import Apparent Power,
Ess3ImpSh,kVAh,Ess3 Import Apparent Power Hours,
Ess3P,kW,Ess3 Active Power,
Ess3Pf,pf,Ess3 Power Factor,
Ess3Qh,kvarh,Ess3 Reactive Power Hours,
Ess3S,kVA,Ess3 Apparent Power,
Ess3Sh,kVAh,Ess3 Apparent Power Hours,
Ess3U,V,Ess3 Average Phase to Phase Voltage,
Ess3U12,V,Ess3 Phase 1 to 2 Voltage,
Ess3U1n,V,Ess3 Phase 1 to N Voltage,
Ess3U23,V,Ess3 Phase 2 to 3 Voltage,
Ess3U2n,V,Ess3 Phase 2 to N Voltage,
Ess3U31,V,Ess3 Phase 3 to 1 Voltage,
Ess3U3n,V,Ess3 Phase 3 to N Voltage,
Ess3Un,V,Ess3 Average Phase to Neutral Voltage,
Ess4E,kWh,Ess4 Energy,
Ess4ExpE,kWh,Ess4 Export Energy,
Ess4ExpP,kW,Ess4 Export Active Power,
Ess4ExpQh,kvarh,Ess4 Export Reactive Power Hours,
Ess4ExpS,kVA,Ess4 Export Apparent Power,
Ess4ExpSh,kVAh,Ess4 Export Apparent Power Hours,
Ess4I2,A,Ess4 Phase 2 Current,
Ess4I3,A,Ess4 Phase 3 Current,
Ess4ImpE,kWh,Ess4 Import Energy,
Ess4ImpP,kW,Ess4 Import Active Power,
Ess4ImpQh,kvarh,Ess4 Import Reactive Power Hours,
Ess4ImpS,kVA,Ess4 Import Apparent Power,
Ess4ImpSh,kVAh,Ess4 Import Apparent Power Hours,
Ess4P,kW,Ess4 Active Power,
Ess4Pf,pf,Ess4 Power Factor,
Ess4Qh,kvarh,Ess4 Reactive Power Hours,
Ess4S,kVA,Ess4 Apparent Power,
Ess4Sh,kVAh,Ess4 Apparent Power Hours,
Ess4U,V,Ess4 Average Phase to Phase Voltage,
Ess4U12,V,Ess4 Phase 1 to 2 Voltage,
Ess4U1n,V,Ess4 Phase 1 to N Voltage,
Ess4U23,V,Ess4 Phase 2 to 3 Voltage,
Ess4U2n,V,Ess4 Phase 2 to N Voltage,
Ess4U31,V,Ess4 Phase 3 to 1 Voltage,
Ess4U3n,V,Ess4 Phase 3 to N Voltage,
Ess4Un,V,Ess4 Average Phase to Neutral Voltage,
EssE,kWh,Energy Storage System Energy,
EssExpE,kWh,Energy Storage System Export Energy,
EssExpP,kW,Energy Storage System Export Active Power,
EssExpQh,kvarh,Energy Storage System Export Reactive Power Hours,
EssExpS,kVA,Energy Storage System Export Apparent Power,
EssExpSh,kVAh,Energy Storage System Export Apparent Power Hours,
EssI2,A,Energy Storage System Phase 2 Current,
EssI3,A,Energy Storage System Phase 3 Current,
EssImpE,kWh,Energy Storage System Import Energy,
EssImpP,kW,Energy Storage System Import Active Power,
EssImpQh,kvarh,Energy Storage System Import Reactive Power Hours,
EssImpS,kVA,Energy Storage System Import Apparent Power,
EssImpSh,kVAh,Energy Storage System Import Apparent Power Hours,
EssP,kW,Energy Storage System Active Power,
EssPf,pf,Energy Storage System Power Factor,
EssQh,kvarh,Energy Storage System Reactive Power Hours,
EssS,kVA,Energy Storage System Apparent Power,
EssSh,kVAh,Energy Storage System Apparent Power Hours,
EssU,V,Energy Storage System Average Phase to Phase Voltage,
EssU12,V,Energy Storage System Phase 1 to 2 Voltage,
EssU1n,V,Energy Storage System Phase 1 to N Voltage,
EssU23,V,Energy Storage System Phase 2 to 3 Voltage,
EssU2n,V,Energy Storage System Phase 2 to N Voltage,
EssU31,V,Energy Storage System Phase 3 to 1 Voltage,
EssU3n,V,Energy Storage System Phase 3 to N Voltage,
EssUn,V,Energy Storage System Average Phase to Neutral Voltage,
Fed1E,kWh,Fed1 Energy,
Fed1ExpE,kWh,Fed1 Export Energy,
Fed1ExpP,kW,Fed1 Export Active Power,
Fed1ExpQh,kvarh,Fed1 Export Reactive Power Hours,
Fed1ExpS,kVA,Fed1 Export Apparent Power,
Fed1ExpSh,kVAh,Fed1 Export Apparent Power Hours,
Fed1I2,A,Fed1 Phase 2 Current,
Fed1I3,A,Fed1 Phase 3 Current,
Fed1ImpE,kWh,Fed1 Import Energy,
Fed1ImpP,kW,Fed1 Import Active Power,
Fed1ImpQh,kvarh,Fed1 Import Reactive Power Hours,
Fed1ImpS,kVA,Fed1 Import Apparent Power,
Fed1ImpSh,kVAh,Fed1 Import Apparent Power Hours,
